Code,Libellé
D35.23Z,Commerce de combustibles gazeux par conduites
D35.30Z,Production et distribution de vapeur et d'air conditionné
E36.00Z,"Captage, traitement et distribution d'eau"
E37.00Z,Collecte et traitement des eaux usées
E38.11Z,Collecte des déchets non dangereux
E38.12Z,Collecte des déchets dangereux
E38.21Z,Traitement et élimination des déchets non dangereux
E38.22Z,Traitement et élimination des déchets dangereux
E38.31Z,Démantèlement d'épaves
E38.32Z,Récupération de déchets triés
E39.00Z,Dépollution et autres services de gestion des déchets
F41.10A,Promotion immobilière de logements
F41.10B,Promotion immobilière de bureaux
F41.10C,Promotion immobilière d'autres bâtiments
F41.10D,Supports juridiques de programmes
F41.20A,Construction de maisons individuelles
F41.20B,Construction d'autres bâtiments
F42.11Z,Construction de routes et autoroutes
F42.12Z,Construction de voies ferrées de surface et souterraines
F42.13A,Construction d'ouvrages d'art
F42.13B,Construction et entretien de tunnels
F42.21Z,Construction de réseaux pour fluides
F42.22Z,Construction de réseaux électriques et de télécommunications
F42.91Z,Construction d'ouvrages maritimes et fluviaux
F42.99Z,Construction d'autres ouvrages de génie civil n.c.a.
F43.11Z,Travaux de démolition
F43.12A,Travaux de terrassement courants et travaux préparatoires
F43.12B,Travaux de terrassement spécialisés ou de grande masse
F43.13Z,Forages et sondages
F43.21A,Travaux d'installation électrique dans tous locaux
F43.21B,Travaux d'installation électrique sur la voie publique
F43.22A,Travaux d'installation d'eau et de gaz en tous locaux
F43.22B,Travaux d'installation d'équipements thermiques et de climatisation
F43.29A,Travaux d'isolation
F43.29B,Autres travaux d'installation n.c.a.
F43.31Z,Travaux de plâtrerie
F43.32A,Travaux de menuiserie bois et PVC
F43.32B,Travaux de menuiserie métallique et serrurerie
F43.32C,Agencement de lieux de vente
F43.33Z,Travaux de revêtement des sols et des murs
F43.34Z,Travaux de peinture et vitrerie
F43.39Z,Autres travaux de finition
F43.91A,Travaux de charpente
F43.91B,Travaux de couverture par éléments
F43.99A,Travaux d'étanchéification
F43.99B,Travaux de montage de structures métalliques
F43.99C,Travaux de maçonnerie générale et gros œuvre de bâtiment
F43.99D,Autres travaux spécialisés de construction
F43.99E,Location avec opérateur de matériel de construction
G45.11Z,Commerce de voitures et de véhicules automobiles légers
G45.19Z,Commerce d'autres véhicules automobiles
G45.20A,Entretien et réparation de véhicules automobiles légers
G45.20B,Entretien et réparation d'autres véhicules automobiles
G45.31Z,Commerce de gros d'équipements automobiles
G45.32Z,Commerce de détail d'équipements automobiles
G45.40Z,Commerce et réparation de motocycles
G46.11Z,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis"
G46.12A,Centrales d'achat de carburant
G46.12B,"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques"
G46.13Z,Intermédiaires du commerce en bois et matériaux de construction
G46.14Z,"Intermédiaires du commerce en machines, équipements industriels, navires et avions"
G46.15Z,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
G46.16Z,"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir"
G46.17A,Centrales d'achat alimentaires
G46.17B,"Autres intermédiaires du commerce en denrées, boissons et tabac"
G46.18Z,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
G46.19A,Centrales d'achat non alimentaires
G46.19B,Autres intermédiaires du commerce en produits divers
G46.21Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
G46.22Z,Commerce de gros (commerce interentreprises) de fleurs et plantes
G46.23Z,Commerce de gros (commerce interentreprises) d'animaux vivants
G46.24Z,Commerce de gros (commerce interentreprises) de cuirs et peaux
G46.31Z,Commerce de gros (commerce interentreprises) de fruits et légumes
G46.32A,Commerce de gros (commerce interentreprises) de viandes de boucherie
G46.32B,Commerce de gros (commerce interentreprises) de produits à base de viande
G46.32C,Commerce de gros (commerce interentreprises) de volailles et gibier
G46.33Z,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
G46.34Z,Commerce de gros (commerce interentreprises) de boissons
G46.35Z,Commerce de gros (commerce interentreprises) de produits à base de tabac
G46.36Z,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie"
G46.37Z,"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices"
G46.38A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques"
G46.38B,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers
G46.39A,Commerce de gros (commerce interentreprises) de produits surgelés
G46.39B,Commerce de gros (commerce interentreprises) alimentaire non spécialisé
G46.41Z,Commerce de gros (commerce interentreprises) de textiles
G46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures
G46.43Z,Commerce de gros (commerce interentreprises) d'appareils électroménagers
G46.44Z,"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien"
G46.45Z,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté
G46.46Z,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
G46.47Z,"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage"
G46.48Z,Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie
